INSTNM,STABBR,CONTROL,PREDDEG,COSTT4_A,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,GRAD_DEBT_MDN,C150_4,UGDS
Warner Pacific University,OR,2,3,32975.0,,18818.0,55204.0,25000,0.8209,344.0
Corban University,OR,2,3,50556.0,,25525.0,48917.0,22625,0.6103,636.0
Western Seminary,OR,2,4,,,,,PS,,
Willamette University,OR,2,3,62112.0,,23663.0,56911.0,21500,0.7273,1525.0
Western Oregon University,OR,1,3,23975.0,18290.0,,51815.0,20609,0.4483,3211.0
University of Western States,OR,2,3,,,,27382.0,PS,,0.0
Bryn Athyn College of the New Church,PA,2,3,39685.0,,19600.0,40457.0,22250,0.4632,273.0
Academy of Vocal Arts,PA,2,4,,,,,,,
Albright College,PA,2,3,44381.0,,21664.0,58700.0,27000,0.4215,1296.0
All-State Career School,PA,3,1,,,19820.0,38495.0,6333,,831.0
Community College of Allegheny County,PA,1,2,13905.0,8166.0,,39449.0,12680,,9305.0
Allegheny College,PA,2,3,70614.0,,21900.0,62069.0,27000,0.6653,1209.0
The  Beauty Institute,PA,3,1,,,15131.0,23580.0,10763,,61.0
DeSales University,PA,2,3,59409.0,,30465.0,61295.0,25788,0.7102,2113.0
Altoona Beauty School Inc,PA,3,1,,,28134.0,24246.0,4750,,80.0
Alvernia University,PA,2,3,54650.0,,28329.0,55055.0,27000,0.5849,2042.0
The Beauty Institute-Ambler,PA,3,1,,,17231.0,24785.0,9583,,152.0
American College of Financial Services,PA,2,1,,,,,,,3963.0
Automotive Training Center-Exton,PA,3,1,,,11732.0,51112.0,15665,,364.0
Clarks Summit University,PA,2,3,41062.0,,21873.0,38818.0,18034,0.5417,331.0
Community College of Beaver County,PA,1,2,11329.0,6980.0,,45090.0,14923,,1092.0
Arcadia University,PA,2,3,61240.0,,25866.0,58336.0,27000,0.6401,1799.0
Missio Theological Seminary,PA,2,4,,,,,,,
Bryn Mawr College,PA,2,3,79380.0,,40690.0,75217.0,25000,0.8559,1346.0
Bucknell University,PA,2,3,79956.0,,40429.0,93807.0,27000,0.8623,3818.0
Bucks County Community College,PA,1,2,12901.0,7561.0,,47324.0,12000,,5199.0
Bucks County School of Beauty Culture Inc,PA,3,1,,,20792.0,27341.0,PS,,112.0
Butler Beauty Academy,PA,3,1,,,10413.0,23003.0,7500,,14.0
Butler County Community College,PA,1,2,11152.0,6075.0,,38891.0,10020,,1882.0
Cabrini University,PA,2,3,49764.0,,24051.0,59038.0,26000,0.5052,645.0
Carlow University,PA,2,3,46864.0,,20822.0,51051.0,25500,0.5519,1336.0
Carnegie Mellon University,PA,2,3,80514.0,,31671.0,114862.0,21750,0.9252,7187.0
Cedar Crest College,PA,2,3,56240.0,,22909.0,59460.0,27000,0.5822,857.0
Central Penn College,PA,3,3,28251.0,,19279.0,45370.0,23194,0.3889,721.0
Chatham University,PA,2,3,56981.0,,25717.0,52410.0,23250,0.662,1252.0
Chestnut Hill College,PA,2,3,57980.0,,29944.0,52015.0,26389,0.561,931.0
Cheyney University of Pennsylvania,PA,1,3,24881.0,9837.0,,37837.0,21785,0.1616,721.0
Citizens School of Nursing,PA,2,1,,,26072.0,69939.0,15250,,115.0
DLP Conemaugh Memorial Medical Center,PA,3,1,,,21861.0,65740.0,12000,,108.0
Curtis Institute of Music,PA,2,3,,,,,PS,0.9474,106.0
Delaware County Community College,PA,1,2,12957.0,7395.0,,45391.0,13250,,7065.0
Delaware Valley University,PA,2,3,58661.0,,27243.0,55838.0,25000,0.522,1644.0
Dickinson College,PA,2,3,80329.0,,32191.0,70204.0,19000,0.8342,2157.0
Douglas Education Center,PA,3,1,32224.0,,26922.0,30814.0,12000,,200.0
Drexel University,PA,2,3,75167.0,,38428.0,84648.0,25325,0.7712,13509.0
Duquesne University,PA,2,3,63042.0,,34978.0,74742.0,26244,0.7555,5216.0
East Stroudsburg University of Pennsylvania,PA,1,3,24369.0,15089.0,,56148.0,24218,0.4383,4611.0
Eastern University,PA,2,3,53293.0,,25885.0,51655.0,25000,0.5596,1978.0
Elizabethtown College,PA,2,3,49318.0,,26198.0,62399.0,27000,0.7707,1815.0
Empire Beauty School-Lebanon,PA,3,1,,,18220.0,22377.0,10667,,33.0
Empire Beauty School-York,PA,3,1,,,18035.0,23921.0,10667,,95.0
Empire Beauty School-Lancaster,PA,3,1,,,16660.0,25073.0,13000,,87.0
Empire Beauty School-Shamokin Dam,PA,3,1,,,17699.0,25073.0,13000,,75.0
Empire Beauty School-Pottsville,PA,3,1,,,17399.0,23589.0,10231,,56.0
Empire Beauty  School-Lehigh Valley,PA,3,1,,,18671.0,25073.0,13000,,133.0
Empire Beauty School-Gwinnett,GA,3,1,,,15507.0,23589.0,10231,,75.0
Empire Beauty School-Wyoming Valley,PA,3,1,,,17467.0,23921.0,10667,,137.0
Empire Beauty School-Harrisburg,PA,3,1,,,17299.0,22377.0,10667,,150.0
Empire Beauty School-Reading,PA,3,1,,,18390.0,23921.0,10667,,76.0
Erie Institute of Technology Inc,PA,3,1,25406.0,,19173.0,41951.0,10738,,183.0
Franklin and Marshall College,PA,2,3,83184.0,,39061.0,76124.0,19000,0.8602,1904.0
Gannon University,PA,2,3,51236.0,,23206.0,58845.0,27000,0.6954,2467.0
Geneva College,PA,2,3,43064.0,,21043.0,50004.0,25198,0.6146,1000.0
Gettysburg College,PA,2,3,80400.0,,30086.0,71517.0,26999,0.8273,2209.0
Empire Beauty School-NE Philadelphia,PA,3,1,,,17950.0,24407.0,13583,,119.0
Gratz College,PA,2,3,,,,,PS,,158.0
Grove City College,PA,2,3,,,,,,0.7972,2221.0
Gwynedd Mercy University,PA,2,3,53359.0,,27141.0,67145.0,25000,0.5849,1141.0
Harcum College,PA,2,2,42113.0,,24791.0,46827.0,18440,,904.0
Harrisburg Area Community College,PA,1,2,16636.0,12117.0,,42007.0,17500,,9802.0
Haverford College,PA,2,3,84605.0,,25210.0,79966.0,13621,0.894,1421.0
Commonwealth Technical Institute,PA,2,1,20826.0,,12882.0,21632.0,PS,,132.0
Holy Family University,PA,2,3,38965.0,,12251.0,62235.0,25125,0.6039,2298.0
Immaculata University,PA,2,3,45416.0,,29464.0,75701.0,27000,0.6447,1265.0
Indiana University of Pennsylvania-Main Campus,PA,1,3,26405.0,17216.0,,51019.0,26798,0.5239,6893.0
UPMC Jameson School of Nursing,PA,2,1,28667.0,,22014.0,70472.0,12000,,332.0
Great Lakes Institute of Technology,PA,3,1,,,18299.0,28704.0,11250,,303.0
Johnson College,PA,2,2,24902.0,,19826.0,55194.0,12000,,549.0
Juniata College,PA,2,3,69241.0,,27663.0,56918.0,27000,0.6891,1175.0
Keystone College,PA,2,3,31742.0,,21461.0,44976.0,26000,0.4116,870.0
King's College,PA,2,3,56991.0,,23281.0,59498.0,27000,0.601,1519.0
Butler Beauty Academy-Kittanning Beauty Academy,PA,3,1,,,8909.0,23003.0,7500,,39.0
Kutztown University of Pennsylvania,PA,1,3,28876.0,21205.0,,53775.0,26000,0.5411,6348.0
La Roche University,PA,2,3,45623.0,,21972.0,52341.0,25000,0.5766,786.0
La Salle University,PA,2,3,45046.0,,21409.0,67416.0,25000,0.579,1966.0
Lackawanna College,PA,2,2,28849.0,,24449.0,41000.0,18075,0.3773,1837.0
Lafayette College,PA,2,3,78854.0,,32496.0,91410.0,16000,0.8805,2746.0
Lancaster Bible College,PA,2,3,40813.0,,22870.0,44096.0,20500,0.7143,1511.0
Lancaster Theological Seminary,PA,2,4,,,,,PS,,
Lancaster School of Cosmetology & Therapeutic Bodywork,PA,3,1,,,12358.0,29738.0,3167,,393.0
Lansdale School of Business,PA,3,1,28997.0,,24539.0,37442.0,13492,,87.0
Lansdale School of Cosmetology Inc,PA,3,1,,,16884.0,25019.0,PS,,40.0
Lebanon Valley College,PA,2,3,63990.0,,28132.0,62621.0,27000,0.7251,1670.0
Lehigh Carbon Community College,PA,1,2,15075.0,9568.0,,42436.0,11000,,4465.0
Miller-Motte College-Berks Technical Institute,PA,3,1,,,,31102.0,15917,,433.0
Lehigh University,PA,2,3,77515.0,,33549.0,105584.0,21960,0.8921,5803.0
Lincoln Technical Institute-Allentown,PA,3,1,,,36307.0,38683.0,11250,,529.0
Lincoln Technical Institute-Philadelphia,PA,3,1,,,28399.0,38683.0,11250,,374.0
Lincoln University,PA,1,3,27358.0,12912.0,,43167.0,28250,0.5212,1712.0
UPMC St. Margaret School of Nursing,PA,2,1,25446.0,,19096.0,67327.0,15667,,91.0
United Lutheran Seminary,PA,2,4,,,,,PS,,
Luzerne County Community College,PA,1,2,14995.0,10228.0,,40437.0,11000,,3241.0
Lycoming College,PA,2,3,61526.0,,19258.0,56210.0,27000,0.5957,1049.0
Manor College,PA,2,2,27178.0,,16521.0,46825.0,19000,0.2442,462.0
Marywood University,PA,2,3,52673.0,,22222.0,55817.0,26186,0.7252,1821.0
Vet Tech Institute,PA,3,2,23551.0,,17585.0,34583.0,13623,,199.0
Roxborough Memorial Hospital School of Nursing,PA,3,1,,,,79323.0,20000,,144.0
Mercyhurst University,PA,2,3,57948.0,,27263.0,47452.0,25305,0.5873,2217.0
Messiah University,PA,2,3,53939.0,,27686.0,54064.0,25621,0.785,2318.0
ASPIRA City College,PA,2,1,25145.0,,15727.0,34857.0,PS,,12.0
Millersville University of Pennsylvania,PA,1,3,27086.0,20231.0,,55246.0,23507,0.544,5610.0
Misericordia University,PA,2,3,51023.0,,24829.0,64313.0,26973,0.692,1632.0
Montgomery County Community College,PA,1,2,14571.0,9930.0,,46108.0,12349,,7181.0
Moore College of Art and Design,PA,2,3,68583.0,,43369.0,37839.0,26000,0.6344,390.0
Moravian University,PA,2,3,64260.0,,29843.0,61860.0,26793,0.7107,1970.0
Mount Aloysius College,PA,2,3,38533.0,,20748.0,46165.0,24287,0.5556,1123.0
Muhlenberg College,PA,2,3,73782.0,,30314.0,69107.0,25455,0.8025,1777.0
Neumann University,PA,2,3,56670.0,,28714.0,57817.0,27000,0.4611,1574.0
New Castle School of Trades,PA,3,1,,,6981.0,44814.0,9567,,623.0
Northampton County Area Community College,PA,1,2,16211.0,10666.0,,41566.0,15495,,7512.0
Heritage Valley Health System School of Nursing,PA,2,1,,,,79831.0,PS,,52.0
Orleans Technical College,PA,2,1,,,17627.0,38668.0,7521,,245.0
Salus University,PA,2,4,,,,,PS,,
Pennsylvania Institute of Technology,PA,2,1,22163.0,,16685.0,35703.0,16500,0.3258,661.0
Pennsylvania State University-Penn State Erie-Behrend College,PA,1,3,32038.0,22951.0,,63435.0,25000,0.457,3172.0
Pennsylvania State University-Penn State Great Valley,PA,1,4,,,,63435.0,25000,,
Pennsylvania State University-Penn State New Kensington,PA,1,3,27036.0,19522.0,,63435.0,25000,0.2443,423.0
Pennsylvania State University-Penn State Shenango,PA,1,3,26545.0,14259.0,,63435.0,25000,0.2295,261.0
Pennsylvania State University-Penn State Wilkes-Barre,PA,1,3,24604.0,15775.0,,63435.0,25000,0.1667,338.0
Pennsylvania State University-Penn State Scranton,PA,1,3,27126.0,18934.0,,63435.0,25000,0.3189,821.0
Pennsylvania State University-Penn State Lehigh Valley,PA,1,3,26918.0,19324.0,,63435.0,25000,0.1736,902.0
Pennsylvania State University-Penn State Altoona,PA,1,3,31725.0,24704.0,,63435.0,25000,0.1784,2412.0
Pennsylvania State University-Penn State Beaver,PA,1,3,27587.0,18657.0,,63435.0,25000,0.212,491.0
Pennsylvania State University-Penn State Berks,PA,1,3,31853.0,24581.0,,63435.0,25000,0.2441,1887.0
Pennsylvania State University-Penn State Harrisburg,PA,1,3,32029.0,23478.0,,63435.0,25000,0.2926,4154.0
Pennsylvania State University-Penn State Brandywine,PA,1,3,30201.0,22518.0,,63435.0,25000,0.2133,1218.0
Pennsylvania State University-Penn State DuBois,PA,1,2,28775.0,18192.0,,63435.0,25000,0.2901,316.0
Pennsylvania State University-Penn State Fayette- Eberly,PA,1,3,26727.0,19450.0,,63435.0,25000,0.3352,415.0
Pennsylvania State University-Penn State Hazleton,PA,1,3,29977.0,20062.0,,63435.0,25000,0.1791,508.0
Pennsylvania State University-Main Campus,PA,1,3,39160.0,32598.0,,63435.0,25000,0.8568,41862.0
Pennsylvania State University-Penn State Greater Allegheny,PA,1,3,26295.0,14721.0,,63435.0,25000,0.2743,360.0
Pennsylvania State University-Penn State Mont Alto,PA,1,3,28851.0,19993.0,,63435.0,25000,0.2512,547.0
Pennsylvania State University-Penn State Abington,PA,1,3,27516.0,17818.0,,63435.0,25000,0.2222,3074.0
Pennsylvania State University-Penn State Schuylkill,PA,1,3,29057.0,21228.0,,63435.0,25000,0.2069,617.0
Pennsylvania State University-Penn State York,PA,1,3,26812.0,18922.0,,63435.0,25000,0.1143,668.0
Peirce College,PA,2,3,18260.0,,12905.0,50660.0,31250,0.0526,789.0
Penn Commercial Business/Technical School,PA,3,1,22653.0,,17147.0,31736.0,11638,,223.0
Pennco Tech-Bristol,PA,3,1,,,20710.0,43493.0,7917,,603.0
Pennsylvania Academy of the Fine Arts,PA,2,3,64035.0,,45022.0,29881.0,22309,0.6757,99.0
Pennsylvania Gunsmith School,PA,3,1,,,30056.0,40747.0,PS,,68.0
Cortiva Institute,PA,3,1,,,32388.0,32094.0,8677,,137.0
Pennsylvania College of Art and Design,PA,2,3,41394.0,,29266.0,33301.0,27000,0.6377,312.0
University of Pennsylvania,PA,2,3,85738.0,,31229.0,111371.0,15715,0.9681,10768.0
University of the Arts,PA,2,3,70834.0,,44154.0,38252.0,27000,0.6919,1064.0
Cairn University-Langhorne,PA,2,3,45473.0,,29577.0,44172.0,26926,0.6516,782.0
Philadelphia College of Osteopathic Medicine,PA,2,4,,,,138767.0,PS,,
Community College of Philadelphia,PA,1,2,19070.0,13306.0,,40852.0,10750,,11312.0
University of Pittsburgh-Bradford,PA,1,3,29488.0,16630.0,,66125.0,24250,0.4344,980.0
University of Pittsburgh-Greensburg,PA,1,3,28514.0,17034.0,,66125.0,24250,0.3963,1322.0
University of Pittsburgh-Johnstown,PA,1,3,28501.0,18952.0,,66125.0,24250,0.5345,1934.0
University of Pittsburgh-Pittsburgh Campus,PA,1,3,36707.0,30074.0,,66125.0,24250,0.8434,20189.0
University of Pittsburgh-Titusville,PA,1,2,24265.0,13017.0,,66125.0,24250,,28.0
Pittsburgh Institute of Aeronautics,PA,2,2,35447.0,,31389.0,66642.0,12230,,591.0
Pittsburgh Institute of Mortuary Science Inc,PA,2,2,,,,53524.0,19295,,369.0
Pittsburgh Technical College,PA,2,2,33969.0,,25754.0,40770.0,17416,0.5309,822.0
Pittsburgh Theological Seminary,PA,2,4,,,,,PS,,
Point Park University,PA,2,3,50133.0,,24791.0,45856.0,27000,0.5956,2320.0
Joseph F McCloskey School of Nursing,PA,2,1,,,,86138.0,14400,,55.0
The Salon Professional Academy-Altoona,PA,3,1,,,20533.0,20809.0,6333,,66.0
Reading Area Community College,PA,1,2,14368.0,8039.0,,39082.0,8750,,3338.0
Reading Hospital School of Health Sciences,PA,2,1,22775.0,,18616.0,74572.0,20885,,270.0
Reconstructionist Rabbinical College,PA,2,4,,,,,,,
Walnut Hill College,PA,3,2,35489.0,,33578.0,36689.0,18765,0.6,127.0
Robert Morris University,PA,2,3,51075.0,,25747.0,62105.0,26950,0.6555,2866.0
Rosedale Technical College,PA,2,2,28485.0,,15372.0,47880.0,12000,,405.0
Rosemont College,PA,2,3,36860.0,,20356.0,48555.0,27000,0.4348,466.0
Saint Francis University,PA,2,3,57515.0,,19173.0,62101.0,27000,0.7275,1525.0
Saint Joseph's University - Philadelphia,PA,2,3,65513.0,,35487.0,86881.0,25500,0.7983,4742.0
Saint Vincent College,PA,2,3,55082.0,,23331.0,59982.0,27000,0.7215,1264.0
Saint Vincent Seminary,PA,2,4,,,,59982.0,27000,,
Schuylkill Technology Center,PA,1,1,,5605.0,,49148.0,15275,,74.0
University of Scranton,PA,2,3,67795.0,,30528.0,74652.0,27000,0.808,3589.0
Seton Hill University,PA,2,3,54634.0,,22558.0,51748.0,27000,0.7099,1581.0
UPMC Shadyside School of Nursing,PA,2,1,26534.0,,23601.0,68801.0,19666,,594.0
Sharon Regional School of Nursing,PA,3,1,,,,74189.0,10990,,37.0
Laurel Technical Institute,PA,3,1,15122.0,,9139.0,28311.0,10706,,160.0
Shippensburg University of Pennsylvania,PA,1,3,29480.0,23553.0,,56351.0,25000,0.5161,4179.0
Slippery Rock University of Pennsylvania,PA,1,3,24781.0,19524.0,,53032.0,25000,0.6591,6728.0
Saint Charles Borromeo Seminary-Overbrook,PA,2,3,44853.0,,38775.0,55225.0,PS,0.4444,41.0
South Hills Beauty Academy,PA,3,1,,,5948.0,23453.0,3431,,282.0
South Hills School of Business & Technology,PA,3,2,32080.0,,25192.0,35539.0,16000,,241.0
St Lukes Hospital School of Nursing,PA,2,1,,,,80244.0,14000,,340.0
The Beauty Institute,PA,3,1,,,19554.0,30577.0,10830,,51.0
Susquehanna University,PA,2,3,72563.0,,26539.0,61723.0,27000,0.7409,2120.0
Swarthmore College,PA,2,3,80014.0,,18686.0,80257.0,17500,0.9413,1627.0
Thaddeus Stevens College of Technology,PA,1,2,17066.0,9964.0,,54681.0,9990,,1449.0
Talmudical Yeshiva of Philadelphia,PA,2,3,21600.0,,10120.0,,PS,0.8158,120.0
Temple University,PA,1,3,39799.0,29219.0,,63727.0,24395,0.7468,21249.0
Theological Seminary of the Reformed Episcopal Church,PA,2,4,,,,,,,
Thiel College,PA,2,3,51346.0,,22746.0,49714.0,27000,0.4355,773.0
Thomas Jefferson University,PA,2,3,62110.0,,28163.0,77449.0,14744,0.6819,3708.0
Triangle Tech Inc-Pittsburgh,PA,3,2,27803.0,,20789.0,51953.0,18084,,90.0
Triangle Tech Inc-Greensburg,PA,3,2,27387.0,,23919.0,53788.0,12000,,100.0
Triangle Tech Inc-Dubois,PA,3,2,27266.0,,20698.0,45538.0,12000,,79.0
Trinity Anglican Seminary,PA,2,4,,,,,,,
Ursinus College,PA,2,3,75378.0,,30485.0,73721.0,27000,0.7662,1477.0
University of Valley Forge,PA,2,3,43134.0,,27499.0,39016.0,27000,0.5612,471.0
Valley Forge Military College,PA,2,2,51175.0,,20857.0,50798.0,9500,,83.0
Venus Beauty Academy,PA,3,1,,,18536.0,22727.0,7388,,71.0
Villanova University,PA,2,3,80866.0,,44876.0,100423.0,25874,0.9241,7005.0
Washington Health System School of Nursing,PA,2,1,,,,63504.0,14750,,39.0
Washington & Jefferson College,PA,2,3,65117.0,,25544.0,67918.0,27000,0.7139,1154.0
Waynesburg University,PA,2,3,42526.0,,25157.0,58537.0,27000,0.605,1081.0
Welder Training and Testing Institute,PA,3,1,,,24740.0,55598.0,PS,,51.0
West Chester University of Pennsylvania,PA,1,3,27559.0,22673.0,,61258.0,23500,0.698,14067.0
Western Pennsylvania Hospital School of Nursing,PA,2,1,25326.0,,19666.0,56487.0,13838,,145.0
Westminster College,PA,2,3,51808.0,,20800.0,53861.0,26060,0.6586,1051.0
Westminster Theological Seminary,PA,2,4,,,,,PS,,
Westmoreland County Community College,PA,1,2,10592.0,6356.0,,37439.0,11000,,2628.0
Widener University,PA,2,3,68305.0,,30470.0,70920.0,27000,0.6351,2765.0
Wilkes University,PA,2,3,56956.0,,27700.0,63454.0,26000,0.6034,1893.0
Williamson College of the Trades,PA,2,2,37921.0,,1421.0,,PS,,313.0
Wilson College,PA,2,3,38932.0,,21241.0,43326.0,26328,0.5183,745.0
Yeshivath Beth Moshe,PA,2,2,18100.0,,6349.0,,PS,0.75,39.0
York College of Pennsylvania,PA,2,3,35806.0,,19685.0,61012.0,26000,0.5974,3187.0
YTI Career Institute-York,PA,3,1,,,17758.0,40672.0,13426,,497.0
Brown University,RI,2,3,84986.0,,26572.0,93487.0,11428,0.9595,7273.0
Bryant University,RI,2,3,67926.0,,40846.0,90008.0,26849,0.8061,3236.0
Johnson & Wales University-Providence,RI,2,3,58330.0,,32478.0,43418.0,26000,0.5488,3913.0
New England Institute of Technology,RI,2,2,48445.0,,36906.0,48684.0,16668,0.5747,1712.0
New England Tractor Trailer Training School of Rhode Island,RI,3,1,,,15411.0,53085.0,6333,,487.0
Providence College,RI,2,3,76667.0,,45538.0,87054.0,27000,0.8785,4170.0
Rhode Island College,RI,1,3,18490.0,10988.0,,56318.0,20500,0.4618,4630.0
Community College of Rhode Island,RI,1,2,11358.0,5240.0,,42659.0,10920,,11455.0
University of Rhode Island,RI,1,3,32584.0,19899.0,,69743.0,22250,0.7103,13822.0
Rhode Island School of Design,RI,2,3,78857.0,,46253.0,68140.0,27000,0.8847,2090.0
Roger Williams University,RI,2,3,60180.0,,38123.0,70266.0,26940,0.6661,3957.0
Salve Regina University,RI,2,3,67612.0,,35682.0,72975.0,27000,0.7492,2102.0
Empire Beauty School-Warwick,RI,3,1,,,19633.0,23589.0,10231,,132.0
Northpoint Bible College,MA,2,3,34411.0,,27662.0,42210.0,25000,0.5085,89.0
Aiken Technical College,SC,1,1,12798.0,5350.0,,39225.0,12250,,1911.0
Allen University,SC,2,3,24804.0,,11081.0,30497.0,34290,0.1323,635.0
Anderson University,SC,2,3,47724.0,,28183.0,42101.0,26700,0.7099,3080.0
Charleston Southern University,SC,2,3,43989.0,,21955.0,45898.0,26471,0.4858,2716.0
Technical College of the Lowcountry,SC,1,1,15086.0,5903.0,,35090.0,10000,,1697.0
Benedict College,SC,2,3,29921.0,,17781.0,31902.0,32500,0.2115,1573.0
Bob Jones University,SC,2,3,34770.0,,17529.0,44354.0,16585,0.6961,2209.0
Southern Wesleyan University,SC,2,3,38739.0,,19968.0,47756.0,26000,0.5202,771.0
Charleston Cosmetology Institute,SC,3,1,,,15686.0,25812.0,5655,,89.0
College of Charleston,SC,1,3,30731.0,19518.0,,56416.0,23250,0.6498,10366.0
Charzanne Beauty College,SC,3,1,,,14042.0,21229.0,9000,,32.0
Northeastern Technical College,SC,1,1,15290.0,7833.0,,32141.0,PS,,849.0
Citadel Military College of South Carolina,SC,1,3,31943.0,21002.0,,72085.0,21096,0.7282,2624.0
Claflin University,SC,2,3,33538.0,,21232.0,40304.0,29000,0.4913,1727.0
Clemson University,SC,1,3,34494.0,22112.0,,71513.0,21500,0.879,22778.0
Clinton College,SC,2,3,23222.0,,14501.0,30180.0,28987,0.1111,94.0
Coker University,SC,2,3,44355.0,,18045.0,40117.0,26000,0.3462,807.0
Columbia International University,SC,2,3,40183.0,,21660.0,38951.0,20000,0.6552,690.0
Columbia College,SC,2,3,37840.0,,23650.0,41338.0,22750,0.5346,1245.0
Converse University,SC,2,3,35669.0,,19712.0,40867.0,27000,0.471,845.0
Denmark Technical College,SC,1,1,25892.0,20601.0,,25351.0,15250,,539.0
Erskine College,SC,2,3,54484.0,,22018.0,53459.0,27000,0.4859,821.0
Florence-Darlington Technical College,SC,1,2,10497.0,598.0,,32748.0,12250,,2890.0
Francis Marion University,SC,1,3,22944.0,13451.0,,43888.0,27000,0.4273,2640.0
Furman University,SC,2,3,73760.0,,29997.0,68635.0,23250,0.8149,2322.0
Greenville Technical College,SC,1,1,13925.0,6246.0,,39473.0,15392,0.1759,8171.0
Horry-Georgetown Technical College,SC,1,1,12391.0,3719.0,,35507.0,14250,,5962.0
Kenneth Shuler School of Cosmetology-North Augusta,SC,3,1,,,17947.0,25542.0,8661,,125.0
Kenneth Shuler School of Cosmetology and Nails-Columbia,SC,3,1,,,16640.0,25088.0,5858,,124.0
Lander University,SC,1,3,26069.0,14501.0,,42396.0,25000,0.4876,3384.0
Limestone University,SC,2,3,40944.0,,20415.0,44999.0,27639,0.2757,1528.0
Medical University of South Carolina,SC,1,3,,,,88420.0,15000,,281.0
Midlands Technical College,SC,1,2,12709.0,5462.0,,38701.0,12000,,7731.0
Morris College,SC,2,3,29585.0,,20375.0,30614.0,31400,0.2043,421.0
Newberry College,SC,2,3,44240.0,,20351.0,48040.0,26805,0.4438,1462.0
North Greenville University,SC,2,3,40599.0,,20612.0,43035.0,23082,0.5491,1719.0
Orangeburg Calhoun Technical College,SC,1,1,14964.0,6119.0,,35761.0,10562,,1564.0
Piedmont Technical College,SC,1,1,20438.0,10862.0,,35768.0,15000,,3988.0
Presbyterian College,SC,2,3,57271.0,,20899.0,60194.0,26000,0.619,862.0
University of South Carolina Aiken,SC,1,3,20922.0,11611.0,,45603.0,24275,0.4011,2805.0
University of South Carolina Beaufort,SC,1,3,23796.0,15309.0,,48088.0,24000,0.3859,1958.0
University of South Carolina-Columbia,SC,1,3,32840.0,24532.0,,62177.0,21500,0.7775,28113.0
University of South Carolina-Lancaster,SC,1,2,18467.0,9735.0,,39426.0,9616,,649.0
University of South Carolina-Salkehatchie,SC,1,2,20402.0,12395.0,,31360.0,11000,,290.0
University of South Carolina-Sumter,SC,1,2,18335.0,9283.0,,42437.0,9250,,631.0
University of South Carolina-Union,SC,1,2,19480.0,11125.0,,33699.0,11000,,267.0
Coastal Carolina University,SC,1,3,26050.0,13742.0,,47258.0,23750,0.5084,9909.0
South Carolina State University,SC,1,3,29957.0,18268.0,,38262.0,31000,0.2941,2757.0
University of South Carolina-Upstate,SC,1,3,24565.0,13725.0,,48587.0,22310,0.4242,4008.0
Sherman College of Chiropractic,SC,2,4,,,,,,,
Spartanburg Methodist College,SC,2,2,32965.0,,16295.0,42895.0,12000,0.3833,1029.0
Spartanburg Community College,SC,1,2,15031.0,6531.0,,37097.0,6500,,5063.0
Central Carolina Technical College,SC,1,2,13295.0,5027.0,,32603.0,9977,,2388.0
Tri-County Technical College,SC,1,1,16879.0,5807.0,,40101.0,9000,,4960.0
Trident Technical College,SC,1,2,11453.0,-3220.0,,38253.0,13029,,11091.0
Voorhees University,SC,2,3,25793.0,,15411.0,35339.0,26700,0.3779,460.0
Williamsburg Technical College,SC,1,1,14074.0,6055.0,,29935.0,PS,,376.0
Winthrop University,SC,1,3,30275.0,16353.0,,47185.0,26975,0.6122,3424.0
Wofford College,SC,2,3,69601.0,,28984.0,68964.0,25732,0.8075,1873.0
York Technical College,SC,1,1,15399.0,4657.0,,37257.0,7000,,3813.0
Augustana University,SD,2,3,53169.0,,24723.0,59217.0,25000,0.7563,1818.0
The Salon Professional Academy,SD,3,1,,,15357.0,23641.0,8500,,65.0
Black Hills State University,SD,1,3,21343.0,17001.0,,46674.0,26000,0.3858,1935.0
Dakota State University,SD,1,3,24447.0,19725.0,,50970.0,23500,0.493,1969.0
Dakota Wesleyan University,SD,2,3,42473.0,,19300.0,53728.0,27000,0.4643,661.0
Paul Mitchell the School-Rapid City,SD,3,1,,,21014.0,29547.0,7917,,79.0
Lake Area Technical College,SD,1,2,18239.0,14826.0,,45473.0,12000,,1710.0
Avera McKennan Hospital School of Radiologic Technology,SD,2,1,,,,,PS,,0.0
Mitchell Technical College,SD,1,2,16241.0,13650.0,,50743.0,12000,,953.0
Mount Marty University,SD,2,3,45209.0,,23295.0,48179.0,26396,0.6055,702.0
National American University-Rapid City,SD,3,3,29232.0,,22086.0,37325.0,29020,0.6,832.0
Kairos University,SD,2,3,,,,,PS,,36.0
Northern State University,SD,1,3,22223.0,17094.0,,47618.0,22320,0.5224,1239.0
Oglala Lakota College,SD,1,2,9841.0,2065.0,,22517.0,PS,0.1146,1156.0
Avera Sacred Heart Hospital,SD,2,1,,,,,,,0.0
South Dakota School of Mines and Technology,SD,1,3,24865.0,20380.0,,72257.0,27000,0.5817,2042.0
South Dakota State University,SD,1,3,22761.0,18219.0,,55070.0,23250,0.5964,8798.0
Sinte Gleska University,SD,1,3,15533.0,7075.0,,20948.0,PS,0.0,579.0
University of Sioux Falls,SD,2,3,32728.0,,20874.0,54521.0,23249,0.6051,1258.0
Sanford Medical Center,SD,2,1,,,,,PS,,27.0
Sisseton Wahpeton College,SD,1,2,9887.0,3050.0,,31546.0,PS,0.1296,209.0
