INSTNM,STABBR,CONTROL,PREDDEG,COSTT4_A,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,GRAD_DEBT_MDN,C150_4,UGDS
Arkansas Beauty School-Little Rock,AR,3,1,,,24060.0,18078.0,6333,,111.0
Arkansas Beauty College,AR,3,1,,,11898.0,16857.0,PS,,56.0
Lyon College,AR,2,3,44943.0,,22670.0,44232.0,21500,0.5591,563.0
Arkansas Technical School,AR,3,1,,,35353.0,16209.0,16500,,111.0
University of Arkansas,AR,1,3,26161.0,17525.0,,58191.0,21500,0.6997,27312.0
University of Arkansas at Pine Bluff,AR,1,3,20907.0,11679.0,,35550.0,24202,0.3968,1899.0
Arkansas State University-Beebe,AR,1,2,14799.0,8652.0,,36603.0,8093,,1902.0
Arkansas State University,AR,1,3,22823.0,13085.0,,42617.0,20500,0.551,7994.0
Arkansas Tech University,AR,1,2,21536.0,12171.0,,41766.0,21000,0.4866,5993.0
University of Arkansas at Monticello,AR,1,1,20741.0,14013.0,,36902.0,19971,0.4327,1868.0
Arthur's Beauty College,AR,3,1,,,12008.0,21954.0,9833,,47.0
Baptist Health College Little Rock,AR,2,2,37054.0,,34755.0,62244.0,10000,,512.0
Black River Technical College,AR,1,1,14624.0,6053.0,,34818.0,9500,,938.0
University of Central Arkansas,AR,1,3,24265.0,16775.0,,45938.0,20346,0.5335,7426.0
Central Baptist College,AR,2,3,27468.0,,16664.0,46789.0,22250,0.3529,477.0
Cossatot Community College of the University of Arkansas,AR,1,1,11738.0,5200.0,,33775.0,PS,,835.0
Crowley's Ridge College,AR,2,3,25817.0,,17236.0,39533.0,26228,0.2609,162.0
East Arkansas Community College,AR,1,1,13028.0,6769.0,,28471.0,6000,,492.0
Paul Mitchell the School-Little Rock,AR,3,1,,,14508.0,24765.0,10725,,411.0
National Park College,AR,1,1,17994.0,11442.0,,32444.0,10500,,1706.0
University of Arkansas Community College-Batesville,AR,1,1,16591.0,9359.0,,33706.0,10250,,788.0
Harding University,AR,2,3,36385.0,,20579.0,52876.0,26500,0.7094,3323.0
Henderson State University,AR,1,3,25946.0,16929.0,,43459.0,19500,0.3805,1491.0
Hendrix College,AR,2,3,52396.0,,23409.0,60376.0,26688,0.6923,1094.0
Hot Springs Beauty College,AR,3,1,,,10792.0,21563.0,9700,,92.0
Jefferson Regional School of Nursing,AR,2,2,,,,73975.0,12000,,80.0
John Brown University,AR,2,3,43260.0,,21144.0,53907.0,21250,0.6677,1415.0
Career Academy of Hair Design,AR,3,1,,,13563.0,21567.0,6365,,244.0
Academy of Salon and Spa,AR,3,1,,,14155.0,16941.0,4833,,81.0
